text,label
我們是交易所風控部，帳號疑似被盜登，請把資金轉到冷錢包,1
您的電腦異常，技術人員需要遠端協助，請輸入這組代碼,1
此為保密專案，如與他人透露將影響辦案進度,1
您家屬涉及事故，需先支付醫療預繳金,1
新版本已上線，建議更新以獲得更穩定的體驗,0
您已被列為重點風險對象，限時處理，逾期凍結資產,1
請將現金存入指定ATM，完成監管流程,1
包裹已放置於管理室，請儘速領取,0
抱歉剛剛斷線了，現在可以繼續,0
今天流量較大，服務可能短暫延遲,0
法院傳票已寄出，若不處理將強制執行，請回撥{電話},1
收到，稍後回覆您詳細資訊,0
若聽到背景雜音，請再重述一次剛剛的內容,0
這週末要不要一起看電影,0
我們與警方合作辦案，需你配合監管資金48小時,1
老師內線消息，短線翻倍，錯過不再,1
我們將於明日進行例行性電力檢修,0
您的LINE/WhatsApp會被停用，請立即點擊連結完成驗證,1
您的訂單已出貨，物流編號為{編號},0
我們已收到您的退貨申請，將安排宅配取件,0
會議記錄已寄到您的信箱，請查收,0
我們是{機關名稱}專員，您的身分證涉及洗錢案件，請保密,1
課程改期到下週二晚間，造成不便敬請見諒,0
老師帶單，跟單盈利全退費，不賺不收費,1
會議連結已更新，新連結見行事曆邀請,0
我們是公安/刑警，正在監控通話，請不要告訴任何人,1
加好友領取紅包，點進來就能現領,1
加入我們的投資群，帶你穩賺不賠，保證月收{百分比}%,1
若需要更改配送地址，請在今日內告知,0
您的預約時段將在30分鐘後開始,0
這通話全程錄音，請勿掛斷，照我們指示操作,1
提醒您本月自動扣繳日期為{日期},0
您的信用卡在{城市}被盜刷，請先匯做臨時凍結,1
需要我把文件印成紙本嗎,0
您小孩在我們手上，準備現金別報警,1
私密照片外流，想下架就照我說的做,1
請協助提供公司統編與抬頭開立發票,0
股票內線準備拉抬，先存入保證金才能進群,1
系統維護時間為{日期時間}，期間服務暫停,0
若無其他問題，我先結束通話，祝您順心,0
感謝您的回饋，我們會儘快改善,0
快遞將於今天下午{時間}送達，請保持聯絡電話暢通,0
您的包裹卡在海關，需繳清關稅才能放行,1
綁定失敗請重綁，否則將影響帳務安全,1
我們可幫你洗白信用紀錄，先支付手續費,1
銀行風控升級，請提供簡訊驗證碼「現在唸出來」,1
您的帳戶多人登入，為確保安全請讀出簡訊內六位數,1
學校將於下週舉辦家長座談會，敬請出席,0
您好，這裡是{銀行}客服，想與您確認聯絡地址是否正確,0
快遞包裹異常，需支付「驗證金」才能派送,1
你的手機中毒了，請安裝這個安全App並授權遠端,1
我們是{通訊商}，欠費將停話，立即繳費點此連結,1
帳戶資金被列為涉案資金，需全數提領交由我們清查,1
請協助提供收件人全名與電話,0
這是官方審核電話，請把銀行APP裡的餘額截圖傳過來,1
您的報修案件已建立，編號{編號},0
您的信用卡帳單已寄出，如有問題請回覆此訊息,0
您的包裹已由他人代領，如有疑問請與我們聯繫,0
明天會議提前到{時間}，請準時出席,0
虛擬貨幣錢包存在風險，先把幣轉到我們的臨時保管地址,1
您中了{獎項}，需先繳{手續費}完成領獎,1
您好，今天有空一起吃飯嗎,0
今天下午會有人到府安裝，預計{時間}抵達,0
請在附件中查閱最新的專案進度,0
天氣不穩定，外出請攜帶雨具,0
醫院門診已掛號成功，報到時間為{時間},0
請確認是否同意本次維修報價,0
今日名額只剩最後{數量}位，現在入金才享優惠,1
收到你的資料了，我再確認後回覆,0
您違反社群規範，帳號將被永久停權，點此復核,1
刷手到你帳戶借放一下，事成紅利{百分比}%,1
這裡是客服，為了驗證身分請提供您的完整卡號及CVV,1
退款將於三到五個工作天內入帳,0
您申辦的貸款已核准，先匯保證金即可放款,1
今天需要我幫忙處理哪一部分,0
您的帳戶出現異常，請立即轉入「安全帳戶」配合調查,1
我們只會在電話中辦理，切勿前往實體分行以免打草驚蛇,1
您在{電商平台}的訂單資料錯誤，需要退款，請提供銀行帳號,1
